хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2019-04-26,'603385,╩щ╢Онют║,10.0,10.35,9.9,10.35,10.35,-0.35,-3.3816,1.1779,3106438,31196048.0,3693964440.0,2637269270.0
2019-04-25,'603385,╩щ╢Онют║,10.35,10.58,10.22,10.58,10.65,-0.3,-2.8169,1.3039,3438834,35698679.0,3823253195.4,2729573694.45
2019-04-24,'603385,╩щ╢Онют║,10.65,10.65,10.44,10.47,10.52,0.13,1.2357,0.6649,1753506,18499845.0,3934072128.6,2808691772.55
2019-04-23,'603385,╩щ╢Онют║,10.52,10.85,10.41,10.85,10.88,-0.36,-3.3088,1.2545,3308438,34990878.0,3886050590.88,2774407272.04
2019-04-22,'603385,╩щ╢Онют║,10.88,10.96,10.68,10.8,10.79,0.09,0.8341,1.37,3612934,39065632.0,4019033310.72,2869348965.76
2019-04-19,'603385,╩щ╢Онют║,10.79,10.81,10.58,10.62,10.63,0.16,1.5052,0.967,2550330,27284306.0,3985787630.76,2845613542.33
2019-04-18,'603385,╩щ╢Онют║,10.63,10.95,10.62,10.83,10.87,-0.24,-2.2079,1.0488,2765970,29840571.0,3926684199.72,2803417234.01
2019-04-17,'603385,╩щ╢Онют║,10.87,10.91,10.74,10.82,10.84,0.03,0.2768,1.0292,2714186,29429354.0,4015339346.28,2866711696.49
2019-04-16,'603385,╩щ╢Онют║,10.84,10.85,10.49,10.71,10.72,0.12,1.1194,1.2453,3284080,34977572.0,4004257452.96,2858799888.68
2019-04-15,'603385,╩щ╢Онют║,10.72,11.17,10.72,10.98,10.88,-0.16,-1.4706,1.3147,3467270,38051644.0,3959929879.68,2827152657.44
2019-04-12,'603385,╩щ╢Онют║,10.88,11.0,10.74,10.89,10.93,-0.05,-0.4575,1.0411,2745770,29806783.0,4019033310.72,2869348965.76
2019-04-11,'603385,╩щ╢Онют║,10.93,11.11,10.8,11.07,11.02,-0.09,-0.8167,1.3483,3555807,38875784.0,4037503132.92,2882535312.11
2019-04-10,'603385,╩щ╢Онют║,11.02,11.19,10.93,11.19,11.24,-0.22,-1.9573,1.5377,4055293,44771370.0,4070748812.88,2906270735.54
2019-04-09,'603385,╩щ╢Онют║,11.24,11.26,11.05,11.12,11.13,0.11,0.9883,1.5471,4080090,45584337.0,4152016030.56,2964290659.48
2019-04-08,'603385,╩щ╢Онют║,11.13,11.35,10.93,11.3,11.33,-0.2,-1.7652,2.2765,6003650,66943221.0,4111382421.72,2935280697.51
2019-04-04,'603385,╩щ╢Онют║,11.33,11.59,11.21,11.53,11.54,-0.21,-1.8198,1.9055,5025274,57147661.0,4185261710.52,2988026082.91
2019-04-03,'603385,╩щ╢Онют║,11.54,11.66,11.21,11.33,11.31,0.23,2.0336,2.1785,5745341,65633142.0,4262834963.76,3043408737.58
2019-04-02,'603385,╩щ╢Онют║,11.31,11.43,11.18,11.32,11.35,-0.04,-0.3524,2.1418,5648621,63714352.0,4177873781.64,2982751544.37
2019-04-01,'603385,╩щ╢Онют║,11.35,11.54,11.17,11.46,11.18,0.17,1.5206,3.2446,8556989,96884318.0,4192649639.4,2993300621.45
2019-03-29,'603385,╩щ╢Онют║,11.18,11.34,10.72,10.83,10.92,0.26,2.381,3.404,8977158,99055643.0,4129852243.92,2948467043.86
2019-03-28,'603385,╩щ╢Онют║,10.92,11.09,10.3,10.45,10.5,0.42,4.0,3.2964,8693551,93670008.0,4033809168.48,2879898042.84
2019-03-27,'603385,╩щ╢Онют║,10.5,10.54,10.21,10.51,10.46,0.04,0.3824,1.6647,4390281,45660007.0,3878662662.0,2769132733.5
2019-03-26,'603385,╩щ╢Онют║,10.46,10.98,10.38,10.64,10.64,-0.18,-1.6917,2.435,6421697,68877199.0,3863886804.24,2758583656.42
2019-03-25,'603385,╩щ╢Онют║,10.64,10.83,10.5,10.51,10.73,-0.09,-0.8388,1.3686,3609440,38533361.0,3930378164.16,2806054503.28
2019-03-22,'603385,╩щ╢Онют║,10.73,10.9,10.55,10.8,10.87,-0.14,-1.2879,1.7232,4544560,48470550.0,3963623844.12,2829789926.71
2019-03-21,'603385,╩щ╢Онют║,10.87,11.12,10.69,10.7,10.74,0.13,1.2104,1.9819,5226819,57005641.0,4015339346.28,2866711696.49
2019-03-20,'603385,╩щ╢Онют║,10.74,10.95,10.54,10.9,10.85,-0.11,-1.0138,1.602,4224933,45180404.0,3967317808.56,2832427195.98
2019-03-19,'603385,╩щ╢Онют║,10.85,10.87,10.53,10.7,10.61,0.24,2.262,2.4574,6480732,69799471.0,4007951417.4,2861437157.95
2019-03-18,'603385,╩щ╢Онют║,10.61,10.76,10.36,10.36,10.37,0.24,2.3144,2.5385,6694592,70606520.0,3919296270.84,2798142695.47
2019-03-15,'603385,╩щ╢Онют║,10.37,10.45,10.04,10.04,10.0,0.37,3.7,2.4708,6516204,67272085.0,3830641124.28,2734848232.99
2019-03-14,'603385,╩щ╢Онют║,10.0,10.3,9.85,10.21,10.25,-0.25,-2.439,1.4938,3939460,39433362.0,3693964440.0,2637269270.0
2019-03-13,'603385,╩щ╢Онют║,10.25,10.56,10.16,10.27,10.27,-0.02,-0.1947,2.0791,5483082,56684598.0,3786313551.0,2703201001.75
2019-03-12,'603385,╩щ╢Онют║,10.27,10.38,10.14,10.26,10.15,0.12,1.1823,2.3214,6122126,62910052.0,3793701479.88,2708475540.29
